Customer Id,Customer Fname,Customer Lname,Customer Email,Customer Password,Customer Segment,Customer Street,Customer City,Customer State,Customer Zipcode,Customer Country
1,Cally,Holloway,XXXXXXXXX,XXXXXXXXX,Consumer,5365 Noble Nectar Island,Caguas,PR,725,Puerto Rico
2,Irene,Luna,XXXXXXXXX,XXXXXXXXX,Consumer,2679 Rustic Loop,Caguas,PR,725,Puerto Rico
3,Gillian,Maldonado,XXXXXXXXX,XXXXXXXXX,Consumer,8510 Round Bear Gate,San Jose,CA,95125,EE. UU.
4,Tana,Tate,XXXXXXXXX,XXXXXXXXX,Home Office,3200 Amber Bend,Los Angeles,CA,90027,EE. UU.
5,Orli,Hendricks,XXXXXXXXX,XXXXXXXXX,Corporate,8671 Iron Anchor Corners,Caguas,PR,725,Puerto Rico
6,Kimberly,Flowers,XXXXXXXXX,XXXXXXXXX,Consumer,2122 Hazy Corner,Tonawanda,NY,14150,EE. UU.
7,Constance,Terrell,XXXXXXXXX,XXXXXXXXX,Home Office,1879 Green Pine Bank,Caguas,PR,725,Puerto Rico
8,Erica,Stevens,XXXXXXXXX,XXXXXXXXX,Corporate,7595 Cotton Log Row,Miami,FL,33162,EE. UU.
9,Nichole,Olsen,XXXXXXXXX,XXXXXXXXX,Corporate,2051 Dusty Route,Caguas,PR,725,Puerto Rico
10,Oprah,Delacruz,XXXXXXXXX,XXXXXXXXX,Corporate,9139 Blue Blossom Court,San Ramon,CA,94583,EE. UU.
11,Germane,Short,XXXXXXXXX,XXXXXXXXX,Corporate,4058 Quiet Heights,Caguas,PR,725,Puerto Rico
12,Freya,Robbins,XXXXXXXXX,XXXXXXXXX,Consumer,3243 Shady Corner,Freeport,NY,11520,EE. UU.
13,Cassandra,Jensen,XXXXXXXXX,XXXXXXXXX,Corporate,131 Sunny Treasure Green,Salinas,CA,93905,EE. UU.
14,Natalie,Mcfadden,XXXXXXXXX,XXXXXXXXX,Corporate,2531 Wishing Square,Caguas,PR,725,Puerto Rico
15,Kimberley,Sharpe,XXXXXXXXX,XXXXXXXXX,Corporate,6417 Silver Towers,Peabody,MA,1960,EE. UU.
16,Sade,Lancaster,XXXXXXXXX,XXXXXXXXX,Corporate,257 Harvest Close,Caguas,PR,725,Puerto Rico
17,Brynne,Giles,XXXXXXXXX,XXXXXXXXX,Corporate,7342 Hazy Beacon Park,Canovanas,PR,729,Puerto Rico
18,Ciara,Bird,XXXXXXXXX,XXXXXXXXX,Corporate,7787 Lazy Corners,Paramount,CA,90723,EE. UU.
19,Bo,Griffin,XXXXXXXXX,XXXXXXXXX,Consumer,5136 Rustic Pioneer Estates,Caguas,PR,725,Puerto Rico
20,Kim,Simon,XXXXXXXXX,XXXXXXXXX,Consumer,1723 Tawny Via,Mount Prospect,IL,60056,EE. UU.
21,Kellie,Farmer,XXXXXXXXX,XXXXXXXXX,Corporate,7111 Silent Fox Gardens,Long Beach,CA,90813,EE. UU.
22,Alma,Conley,XXXXXXXXX,XXXXXXXXX,Corporate,3732 Old Mountain Bank,Caguas,PR,725,Puerto Rico
